"mean";"sd";"2.5%";"25%";"50%";"75%";"97.5%"
"mu_B";0.281360594;0.0365256080821125;0.2132;0.2566;0.2798;0.3047;0.3568
"sigmap_B";0.902686772;0.151439354577938;0.6528;0.7949;0.887;0.9926;1.242
"logit_int_Eu";-2.50233682;0.0765323060946495;-2.653;-2.553;-2.502;-2.453;-2.351
"logit_flow_Eu";-0.0746296356386;0.0799635584231659;-0.2357;-0.1262;-0.07387;-0.022265;0.0816420000000001
"sigmap_Eu";0.305199384;0.0653190366336758;0.2013;0.2591;0.297;0.3425;0.4566
"p_B[1]";0.352794004;0.113060367067244;0.1819;0.2482;0.3518;0.4364;0.5637
"p_B[2]";0.337348064;0.114030755609688;0.1456;0.2616;0.3226;0.409;0.5634
"p_B[3]";0.365993326;0.134884697864851;0.1771;0.2491;0.3456;0.4708;0.6439
"p_B[4]";0.32846168;0.114845669646419;0.1583;0.2396;0.3053;0.3958;0.5752
"p_B[5]";0.376711676;0.0355324507341124;0.3103;0.3514;0.3762;0.4004;0.4479
"p_B[6]";0.2201431038;0.108644815304801;0.05638;0.1319;0.2121;0.2976;0.4319
"p_B[7]";0.1572564758;0.0696631786400188;0.05701;0.1095;0.1483;0.1862;0.3685
"p_B[8]";0.319224678;0.0339244006829236;0.2555;0.296;0.3177;0.3412;0.3894
"p_B[9]";0.382632264;0.0331366368928471;0.3173;0.3605;0.3827;0.4049;0.4497
"p_B[10]";0.2238734464;0.147790032092892;0.04302;0.112;0.1897;0.2974;0.603
"p_B[11]";0.0266335806;0.00784126944659309;0.01457;0.02103;0.02557;0.03099;0.04535
"p_B[12]";0.413858676;0.0203545492428725;0.374;0.4009;0.4136;0.4272;0.4548
"p_B[13]";0.471803072;0.0366354269751699;0.3992;0.4466;0.4708;0.4962;0.5443
"p_B[14]";0.0658340674;0.02025249645961;0.03369;0.05123;0.06307;0.07762;0.1131
"p_B[15]";0.304549368;0.12386249539855;0.1476;0.2081;0.2769;0.3706;0.6131
"p_B[16]";0.2216276182;0.14903916751867;0.04745;0.1098;0.1811;0.2959;0.6099
"p_B[17]";0.260465158;0.0250032826548417;0.2143;0.2432;0.2592;0.2769;0.3116
"p_B[18]";0.568919684;0.0207643434882819;0.528;0.5548;0.5698;0.5835;0.607
"p_B[19]";0.402767792;0.0237350114147871;0.3558;0.3873;0.403;0.4181;0.4494
"p_B[20]";0.389779762;0.0336097660770031;0.3277;0.3662;0.3891;0.4128;0.458
"p_B[21]";0.404734124;0.0262640624879738;0.3555;0.3869;0.4039;0.4229;0.4565
"p_B[22]";0.321531702;0.0183989913647695;0.2856;0.3092;0.322;0.3335;0.3576
"p_B[23]";0.274425268;0.0375677074757174;0.2051;0.2479;0.2734;0.2991;0.3508
"p_B[24]";0.395060704;0.0411177496564576;0.315;0.3676;0.3946;0.4215;0.4803
"p_B[25]";0.28372602;0.0172593176875721;0.2522;0.2717;0.2834;0.2949;0.3183
"p_B[26]";0.302154052;0.0170228666546231;0.269497499547663;0.2906;0.3015;0.3139;0.3358
"p_B[27]";0.281007266;0.0380568503463228;0.2099;0.255;0.2798;0.3056;0.3587
"p_B[28]";0.1617183568;0.0243880888575029;0.1165;0.1452;0.1611;0.177;0.2121
"p_B[29]";0.261995774;0.0217954542870176;0.2211;0.2468;0.2613;0.2768;0.3052
"p_B95";0.2700698474;0.242215020270227;0.02732;0.0874074998927397;0.1704;0.3964;0.886807498763385
"p_B00";0.564956042;0.200946876350036;0.2374;0.405;0.5414;0.71682499869221;0.961
"p_B02";0.2570924274;0.23267462520431;0.03103;0.08528;0.1749;0.3407;0.901102499864759
"p_Btot[1]";0.352794004;0.113060367067244;0.1819;0.2482;0.3518;0.4364;0.5637
"p_Btot[2]";0.337348064;0.114030755609688;0.1456;0.2616;0.3226;0.409;0.5634
"p_Btot[3]";0.365993326;0.134884697864851;0.1771;0.2491;0.3456;0.4708;0.6439
"p_Btot[4]";0.32846168;0.114845669646419;0.1583;0.2396;0.3053;0.3958;0.5752
"p_Btot[5]";0.376711676;0.0355324507341124;0.3103;0.3514;0.3762;0.4004;0.4479
"p_Btot[6]";0.2201431038;0.108644815304801;0.05638;0.1319;0.2121;0.2976;0.4319
"p_Btot[7]";0.1572564758;0.0696631786400188;0.05701;0.1095;0.1483;0.1862;0.3685
"p_Btot[8]";0.319224678;0.0339244006829236;0.2555;0.296;0.3177;0.3412;0.3894
"p_Btot[9]";0.382632264;0.0331366368928471;0.3173;0.3605;0.3827;0.4049;0.4497
