"PARR 0+ year","0+ parr","adults","survival rate (%)"
1984,NA,376,NA
1985,1324,223,16.84
1986,8058,189,2.35
1987,11790,297,2.52
1988,11050,330,2.99
1989,10695,222,2.08
1990,5846,255,4.36
1991,6980,520,7.45
1992,4922,393,7.98
1993,4720,228,4.83
1994,13790,180,1.31
1995,5923,124,2.09
1996,7187,195,2.71
1997,7585,178,2.35
1998,6887,164,2.38
1999,9897,226,2.28
2000,10960,451,4.11
2001,12257,49,0.4
2002,15321,103,0.67
2003,7101,120,1.69
2004,4442.5,64,1.44
2005,9469,93,0.98
2006,2490,82,3.29
2007,3145,76,2.42
2008,5150,191,3.71
2009,2797,60,2.15
2010,7301,117,1.6
2011,4771,134,2.81
2012,15535,114,0.73
2013,4738,78,1.65
2014,6876,79,1.15
2015,8214,NA,NA
2016,10166.5,NA,NA
2017,7228,NA,NA
