"PARR 0+ year","0+ parr","adults","survival rate (%)"
1984,NA,377,NA
1985,1323,223,16.86
1986,8048,188,2.34
1987,11777,296,2.51
1988,11030,330,2.99
1989,10684.5,222,2.08
1990,5847,255,4.36
1991,6951,519,7.47
1992,4893,392,8.01
1993,4713,229,4.86
1994,13787,180,1.31
1995,5912,124,2.1
1996,7188,194,2.7
1997,7576,177,2.34
1998,6863.5,163,2.37
1999,9885,226,2.29
2000,10936,451,4.12
2001,12264,49,0.4
2002,15200.5,103,0.68
2003,7112,120,1.69
2004,4444,64,1.44
2005,9522.5,93,0.98
2006,2503,82,3.28
2007,3142,75,2.39
2008,5113.5,191,3.74
2009,2824,59,2.09
2010,7325.5,117,1.6
2011,4787,135,2.82
2012,15622,113,0.72
2013,4738,78,1.65
2014,6904,79,1.14
2015,8268,110,1.33
2016,10348,NA,NA
2017,7162.5,NA,NA
2018,5654,NA,NA
