"Year","1SW","MSW","eggs (million)","eggs/CL"
1984,227,31,0.5,4.18
1985,203,62,0.68,5.68
1986,64,46,0.35,2.94
1987,166,15,0.17,1.44
1988,125,72,0.62,5.13
1989,177,26,0.39,3.21
1990,78,20,0.24,1.96
1991,46,7,0.1,0.79
1992,36,8,0.14,1.15
1993,100,10,0.15,1.23
1994,41,15,0.24,2.03
1995,135,6,0.31,2.59
1996,249,13,0.58,4.83
1997,39,17,0.2,1.7
1998,152,15,0.34,2.84
1999,199,29,0.46,3.86
2000,225,31,0.7,5.83
2001,175,17,0.35,2.91
2002,281,36,0.72,6.02
2003,181,33,0.56,4.68
2004,322,74,1.19,9.95
2005,138,27,0.34,2.82
2006,174,37,0.62,5.2
2007,182,28,0.49,4.05
2008,93,21,0.38,3.18
2009,138,26,0.36,3
2010,470,26,1.07,8.92
2011,202,72,0.92,7.67
2012,200,53,0.46,3.8
2013,257,65,0.7,5.87
2014,221,58,0.79,6.62
2015,122,46,0.55,4.58
2016,270,31,0.64,5.3
2017,211,47,0.46,3.82
2018,184,44,0.7,5.8
2019,163,36,0.47,3.95
