"Year","1SW","MSW","eggs (million)","eggs/CL"
1984,223,28,0.48,3.98
1985,201,60,0.66,5.53
1986,65,47,0.36,3.02
1987,162,14,0.16,1.37
1988,125,73,0.62,5.16
1989,177,26,0.38,3.2
1990,78,17,0.22,1.85
1991,46,6,0.09,0.76
1992,37,9,0.15,1.22
1993,101,10,0.15,1.25
1994,40,14,0.23,1.95
1995,134,4,0.29,2.46
1996,246,8,0.54,4.5
1997,39,8,0.14,1.14
1998,154,16,0.35,2.92
1999,199,30,0.47,3.93
2000,227,32,0.71,5.9
2001,175,16,0.35,2.88
2002,281,37,0.73,6.06
2003,180,33,0.56,4.65
2004,323,75,1.2,10.04
2005,138,26,0.33,2.76
2006,175,38,0.63,5.28
2007,182,29,0.49,4.08
2008,94,22,0.39,3.26
2009,139,26,0.37,3.05
2010,475,24,1.06,8.83
2011,202,73,0.93,7.72
2012,202,54,0.46,3.84
2013,257,65,0.71,5.88
2014,226,58,0.81,6.72
2015,121,48,0.56,4.69
2016,272,30,0.63,5.27
2017,214,46,0.45,3.79
2018,171,40,0.64,5.36
