"","2.5%","25%","50%","75%","97.5%"
"1994",39,51,60,71,104
"1995",72,81,88,95,112
"1996",58,67,73,81,100
"1997",53,60,65,71,86
"1998",16,20,23,26,35
"1999",70,81,89,98,120
"2000",31,38,42,48,62
"2001",25,30,34,39,50
"2002",14,17,19,22,30
"2003",44,49,53,58,70
"2004",50,55,60,64,76
"2005",102,112,118,126,144
"2006",80,90,97,106,126
"2007",70,79,85,92,109
"2008",62,71,77,84,102
"2009",87,99,106,116,138
"2010",48,56,61,67,81
"2011",183,199,210,222,251
"2012",107,122,133,145,174
"2013",75,86,94,103,125
"2014",109,121,129,138,159
"2015",134,149,160,171,200
"2016",63,72,77,84,100
"2017",119,129,136,143,161
"2018",98,116,128,143,178
"2019",32,37,40,45,56
"2020",21,28,34,41,59
"2021",26,31,34,39,50
"2022",73,81,86,92,107
"2023",23,28,32,37,50
