"mean";"sd";"2.5%";"25%";"50%";"75%";"97.5%"
"logit_int_MC";0.5023031028;0.117703452192881;0.2686;0.4247;0.503;0.5807;0.7328025
"logit_flow_MC";-0.0928773023758;0.121398268428649;-0.3308;-0.1729;-0.09402;-0.01338;0.1487
"log_cess_MC";0.0813266096998;0.258422076877372;-0.4437025;-0.0893;0.08857;0.2592;0.5708025
"shape_lambda";2.427642098;0.596501852025581;1.422;2.004;2.369;2.79524996646496;3.74202499674363
"rate_lambda";0.00201597549;0.000551468468509393;0.001097;0.001621;0.001961;0.002351;0.003246
"mean_gamma";1222.156874;148.328753811027;965.1;1119;1211;1312;1548
"var_gamma";665997.714;258453.82259379;332400;490500;613000;778900.000000001;1303000
"lambda[1]";753.298224;66.3802688820086;638.6;707.1;747.8;794.1;899.602499864533
"lambda[2]";369.221162;44.3624960545603;298.1;337.8;363.9;394.5;473.202499742481
"lambda[3]";419.257306;43.0759078197901;345.8;388.9;415.5;445.4;514.5
"lambda[4]";833.514676;83.6766226359462;693.9;775.2;824.3;882;1023
"lambda[5]";824.160522;54.1821798847172;736.397499834484;786.7;818;854.2;947.9
"lambda[6]";205.208272;26.7285684521533;161.2;186.5;202.3;220.7;266.3
"lambda[7]";682.542794;51.5327601995181;596.6;646.6;677.2;712.7;798.6
"lambda[8]";232.761336;22.417758813345;195.4;217.3;230.6;245.6;283.8
"lambda[9]";606.941238;136.314488650413;414.8;507.9;582.7;676.9;939.8
"lambda[10]";749.813302;52.8268332568122;659.6;712.6;745.5;781.824998800934;866.602499859375
"lambda[11]";1010.588762;74.5961009589169;884.2;958.9;1003;1055;1176
"lambda[12]";480.043632;76.0260296332264;358.8;426.4;470.2;523.024998207657;657.40249981463
"lambda[13]";1080.64566;123.597203603234;870.097499859919;994.6;1069;1154;1355
"lambda[14]";267.551524;27.8298604685704;219.3;248.1;265.5;284.8;328.4
"lambda[15]";2170.23558;73.4030364642965;2033;2120;2168;2218;2323
"lambda[16]";1362.0783;104.088843104605;1175;1291;1357;1426;1584
"lambda[17]";2368.54838;79.0891782821015;2219;2314;2366;2420.24996126967;2531
"lambda[18]";1243.08832;63.4868746375393;1124;1200;1241;1285;1373
"lambda[19]";1234.79582;65.0899407323074;1116;1190;1232;1277;1370
"lambda[20]";849.037098;43.3442911360871;768.8;819.4;847.2;877.1;939.3
"lambda[21]";1359.12958;69.224235271461;1232;1311;1356;1404;1501
"lambda[22]";959.682862;52.6931265897247;862.7;923.4;957.3;993.5;1070
"lambda[23]";2160.32572;113.689866277498;1951;2081;2157;2235;2393
"lambda[24]";3387.96274;185.587263798845;3046;3259;3379;3508;3777
"lambda[25]";1415.27978;122.46956666473;1201;1329;1406;1492;1682
"lambda[26]";1805.75438;100.783745108431;1619;1736;1802;1872;2015
"lambda[27]";1365.6052;76.4567846940905;1227;1313;1362;1414;1525
"lambda[28]";1290.031818;101.618116915482;1102;1220;1286;1355;1500
"lambda[29]";1570.4584;114.487250714005;1364;1491;1564;1644;1813
"lambda[30]";2301.51296;127.309053346334;2070;2212;2296;2384;2565
"lambda[31]";1982.97002;261.44960883344;1543;1800.74994792872;1959;2137;2584
"Ntot[1]";752.23088;60.2958161577943;652;709;746;789;888
"Ntot[2]";367.48066;40.329474026993;308;338;361;389;466
